,Institution,C_ID,% Fraternity,% Sorority,Fraternity,Sorority
449,University of Minnesota-Morris,MNMO,0,0,0,0
450,University of Minnesota-Twin Cities,MIN,0.09,0.09,1,1
451,University of Missouri-Columbia,MIZ,0.24,0.3,1,1
452,University of Nebraska-Lincoln,NEB,0.2,0.27,1,1
453,University of Nevada-Las Vegas,UNLV,0.04,0.04,1,1
454,University of Nevada-Reno,RENO,0.08,0.07,1,1
455,University of New Mexico,UNM,0.03,0.03,1,1
456,University of North Carolina Wilmington,UNCW,0.11,0.09,1,1
457,University of North Georgia,UNG,0.04,0.05,1,1
458,University of Pittsburgh,PITT,0.09,0.13,1,1
459,University of Redlands,RDLD,0,0,0,0
460,University of South Carolina,SCAR,0.23,0.32,1,1
461,University of South Dakota,SDAK,0,0,1,1
462,University of St Thomas,STMN,0,0,0,0
463,University of Tampa,TMPA,0.02,0.05,1,1
464,University of Toledo,TOL,0,0,1,1
465,University of Virginia-Main Campus,UVA,0.31,0.31,1,1
466,University of Washington-Bothell Campus,WSBT,0.13,0.15,1,1
467,University of Wisconsin-Eau Claire,UWEC,0,0,1,1
468,University of Wisconsin-La Crosse,UWLC,0,0,1,1
469,University of Wisconsin-Madison,WISC,0.09,0.08,1,1
470,Virginia Military Institute,VMI,0,0,0,0
471,Virginia Polytechnic Institute and State University,VAPT,0.13,0.19,1,1
472,University of Washington,WASH,0,0,1,1
473,Washington & Jefferson College,WSJF,0.29,0.33,1,1
474,Washington University in St. Louis,WSHU,0.19,0.1,1,1
475,Wayne State University,WAYN,0,0,1,1
476,West Chester University of Pennsylvania,WCPA,0.13,0.13,1,1
477,West Virginia University,WVU,0.12,0.12,1,1
478,Wheaton College (IL),WHEA,0,0,0,0
479,Wheaton College (MA),WEAM,0,0,0,0
480,Whitworth University,WHIT,0,0,0,0
481,Wichita State University,WICH,0.08,0.08,1,1
482,Yeshiva University,YESH,0,0,0,0
